,object,n_pos,n_neg,succ_r
0,kit_BakingSoda,146,48,0.7525773195876289
1,kit_BathDetergent,64,121,0.34594594594594597
2,kit_BroccoliSoup,147,51,0.7424242424242424
3,kit_CoughDropsLemon,129,61,0.6789473684210526
4,kit_Curry,101,94,0.517948717948718
5,kit_FizzyTabletsCalcium,67,103,0.3941176470588235
6,kit_InstantSauce,96,85,0.5303867403314917
7,kit_NutCandy,53,147,0.265
8,kit_PotatoeDumplings,124,76,0.62
9,kit_Sprayflask,125,69,0.6443298969072165
10,kit_TomatoSoup,123,66,0.6507936507936508
11,kit_YellowSaltCube2,80,101,0.4419889502762431
